_id,usuario_id,restaurant_id,estado,fechaPedido,fechaInicioPreparacion,fechaEntrega,items,total,promocion_id
67f9f89b7f0966e5e8094a50,67f9f88d7f0966e5e809495f,67f9f88d7f0966e5e8094998,entregado,2025-04-01T12:20:53.390000,2025-04-01T12:24:53.390000,2025-04-01T12:41:53.390000,"[{'item_id': ObjectId('67f9f88e7f0966e5e80949c9'), 'nombre': 'Ducimus Dicta', 'cantidad': 2, 'precio_unitario': 129.68}, {'item_id': ObjectId('67f9f88e7f0966e5e80949c5'), 'nombre': 'Iure Velit', 'cantidad': 2, 'precio_unitario': 228.51}, {'item_id': ObjectId('67f9f88e7f0966e5e80949c5'), 'nombre': 'Iure Velit', 'cantidad': 3, 'precio_unitario': 228.51}, {'item_id': ObjectId('67f9f88e7f0966e5e80949c8'), 'nombre': 'Sequi Unde', 'cantidad': 1, 'precio_unitario': 330.41}, {'item_id': ObjectId('67f9f88e7f0966e5e80949c6'), 'nombre': 'Asperiores Illo', 'cantidad': 2, 'precio_unitario': 332.48}]",2397.2799999999997,
67f9f89c7f0966e5e8094a51,67f9f88d7f0966e5e809497b,67f9f88d7f0966e5e809499c,en preparación,2025-04-04T18:42:38.987000,2025-04-04T18:51:38.987000,,"[{'item_id': ObjectId('67f9f88f7f0966e5e80949e8'), 'nombre': 'Et Aliquam', 'cantidad': 3, 'precio_unitario': 250.07}, {'item_id': ObjectId('67f9f88f7f0966e5e80949e3'), 'nombre': 'Numquam Similique', 'cantidad': 2, 'precio_unitario': 228.97}, {'item_id': ObjectId('67f9f88f7f0966e5e80949ea'), 'nombre': 'Ad Facere', 'cantidad': 2, 'precio_unitario': 253.2}]",1714.5500000000002,
67f9f89c7f0966e5e8094a52,67f9f88d7f0966e5e809497f,67f9f88d7f0966e5e8094995,pendiente,2025-04-08T01:26:03.987000,2025-04-08T01:32:03.987000,,"[{'item_id': ObjectId('67f9f88e7f0966e5e80949b1'), 'nombre': 'Labore Cum', 'cantidad': 1, 'precio_unitario': 348.54}, {'item_id': ObjectId('67f9f88e7f0966e5e80949b4'), 'nombre': 'Alias Sit', 'cantidad': 1, 'precio_unitario': 52.16}, {'item_id': ObjectId('67f9f88e7f0966e5e80949b1'), 'nombre': 'Labore Cum', 'cantidad': 2, 'precio_unitario': 348.54}, {'item_id': ObjectId('67f9f88e7f0966e5e80949b1'), 'nombre': 'Labore Cum', 'cantidad': 3, 'precio_unitario': 348.54}, {'item_id': ObjectId('67f9f88e7f0966e5e80949b1'), 'nombre': 'Labore Cum', 'cantidad': 2, 'precio_unitario': 348.54}]",2840.4800000000005,
67f9f89c7f0966e5e8094a53,67f9f88d7f0966e5e809495e,67f9f88d7f0966e5e8094995,pendiente,2025-04-05T04:23:14.051000,2025-04-05T04:33:14.051000,,"[{'item_id': ObjectId('67f9f88e7f0966e5e80949b0'), 'nombre': 'Maiores Quia', 'cantidad': 2, 'precio_unitario': 276.58}, {'item_id': ObjectId('67f9f88e7f0966e5e80949b5'), 'nombre': 'Cum Deserunt', 'cantidad': 2, 'precio_unitario': 321.63}, {'item_id': ObjectId('67f9f88e7f0966e5e80949b6'), 'nombre': 'Consequatur Ex', 'cantidad': 1, 'precio_unitario': 133.54}]",1329.96,
67f9f89d7f0966e5e8094a54,67f9f88d7f0966e5e8094977,67f9f88d7f0966e5e80949a6,en preparación,2025-04-06T18:07:53.321000,2025-04-06T18:12:53.321000,,"[{'item_id': ObjectId('67f9f8927f0966e5e8094a28'), 'nombre': 'Labore Impedit', 'cantidad': 1, 'precio_unitario': 95.52}, {'item_id': ObjectId('67f9f8927f0966e5e8094a27'), 'nombre': 'Culpa Iure', 'cantidad': 3, 'precio_unitario': 170.21}]",606.15,
67f9f89d7f0966e5e8094a55,67f9f88d7f0966e5e809497c,67f9f88d7f0966e5e80949a6,en preparación,2025-04-08T15:23:29.690000,2025-04-08T15:25:29.690000,,"[{'item_id': ObjectId('67f9f8927f0966e5e8094a28'), 'nombre': 'Labore Impedit', 'cantidad': 2, 'precio_unitario': 95.52}, {'item_id': ObjectId('67f9f8927f0966e5e8094a29'), 'nombre': 'Natus Velit', 'cantidad': 2, 'precio_unitario': 85.54}]",362.12,
67f9f89e7f0966e5e8094a56,67f9f88d7f0966e5e8094990,67f9f88d7f0966e5e80949a2,entregado,2025-04-05T11:31:34.204000,2025-04-05T11:37:34.204000,2025-04-05T12:12:34.204000,"[{'item_id': ObjectId('67f9f8917f0966e5e8094a0f'), 'nombre': 'Veniam Optio', 'cantidad': 3, 'precio_unitario': 201.79}, {'item_id': ObjectId('67f9f8917f0966e5e8094a0b'), 'nombre': 'Laborum Natus', 'cantidad': 1, 'precio_unitario': 328.67}, {'item_id': ObjectId('67f9f8917f0966e5e8094a0d'), 'nombre': 'Dolore Itaque', 'cantidad': 2, 'precio_unitario': 305.09}]",1357.412,67f9f8987f0966e5e8094a45
67f9f89e7f0966e5e8094a57,67f9f88d7f0966e5e8094978,67f9f88d7f0966e5e809499c,en preparación,2025-04-04T06:59:01.675000,2025-04-04T07:05:01.675000,,"[{'item_id': ObjectId('67f9f88f7f0966e5e80949e6'), 'nombre': 'Quod Corporis', 'cantidad': 1, 'precio_unitario': 159.27}, {'item_id': ObjectId('67f9f88f7f0966e5e80949e8'), 'nombre': 'Et Aliquam', 'cantidad': 2, 'precio_unitario': 250.07}, {'item_id': ObjectId('67f9f88f7f0966e5e80949e3'), 'nombre': 'Numquam Similique', 'cantidad': 1, 'precio_unitario': 228.97}, {'item_id': ObjectId('67f9f88f7f0966e5e80949e8'), 'nombre': 'Et Aliquam', 'cantidad': 3, 'precio_unitario': 250.07}]",1638.5900000000001,
67f9f89e7f0966e5e8094a58,67f9f88d7f0966e5e8094989,67f9f88d7f0966e5e809499d,en preparación,2025-04-03T00:25:46.324000,2025-04-03T00:31:46.324000,,"[{'item_id': ObjectId('67f9f88f7f0966e5e80949f1'), 'nombre': 'Quisquam Labore', 'cantidad': 3, 'precio_unitario': 186.62}]",559.86,
67f9f89f7f0966e5e8094a59,67f9f88d7f0966e5e809495d,67f9f88d7f0966e5e80949a6,en preparación,2025-04-06T21:40:41.525000,2025-04-06T21:46:41.525000,,"[{'item_id': ObjectId('67f9f8927f0966e5e8094a2b'), 'nombre': 'Facilis Ullam', 'cantidad': 3, 'precio_unitario': 139.21}]",417.63,
